time,readback,angle
2025-08-27 09:26:49.986443043,2.0448e-06,-49999950.0
2025-08-27 09:26:50.545964479,2.043e-06,-49497513.0
2025-08-27 09:26:51.110485077,2.043e-06,-48995073.0
2025-08-27 09:26:51.813611269,2.0425e-06,-48492514.0
2025-08-27 09:26:52.368227959,2.0425e-06,-47989988.0
2025-08-27 09:26:52.917110682,2.0398e-06,-47487502.0
2025-08-27 09:26:53.463985682,2.0398e-06,-46984994.0
2025-08-27 09:26:54.060051680,2.0406e-06,-46482467.0
2025-08-27 09:26:54.614262581,2.0367e-06,-45979944.0
2025-08-27 09:26:55.169724703,2.0367e-06,-45477455.0
2025-08-27 09:26:55.715088129,2.038e-06,-44974938.0
2025-08-27 09:26:56.260035038,2.038e-06,-44472415.0
2025-08-27 09:26:56.812318325,2.0395e-06,-43969919.0
2025-08-27 09:26:57.359553576,2.0395e-06,-43467364.0
2025-08-27 09:26:57.912806749,2.0491e-06,-42964936.0
2025-08-27 09:26:58.466991663,2.0491e-06,-42462374.0
2025-08-27 09:26:59.022490978,2.4971e-06,-41959797.0
2025-08-27 09:26:59.570333242,4.1003e-06,-41457340.0
2025-08-27 09:27:00.127248049,4.1003e-06,-40954831.0
2025-08-27 09:27:00.670526981,2.3185e-06,-40452316.0
2025-08-27 09:27:01.215897560,2.3185e-06,-39949808.0
2025-08-27 09:27:01.759540081,2.0438e-06,-39447246.0
2025-08-27 09:27:02.313789368,2.0438e-06,-38944791.0
2025-08-27 09:27:02.867700815,2.0337e-06,-38442228.0
2025-08-27 09:27:03.103702784,2.0337e-06,-37939699.0
2025-08-27 09:27:03.648938656,2.0337e-06,-37437218.0
2025-08-27 09:27:04.193729162,2.0337e-06,-36934705.0
2025-08-27 09:27:04.743679047,2.0302e-06,-36432192.0
2025-08-27 09:27:05.295608759,2.0302e-06,-35929688.0
2025-08-27 09:27:05.786954641,2.03e-06,-35427135.0
2025-08-27 09:27:06.333568573,2.03e-06,-34924646.0
2025-08-27 09:27:06.878632307,2.0346e-06,-34422142.0
2025-08-27 09:27:07.425003767,2.0346e-06,-33919658.0
2025-08-27 09:27:07.972483635,2.0393e-06,-33417089.0
2025-08-27 09:27:08.517908812,2.0363e-06,-32914616.0
2025-08-27 09:27:09.032967090,2.0363e-06,-32412060.0
2025-08-27 09:27:09.581061125,2.0323e-06,-31909577.0
2025-08-27 09:27:09.945231438,2.0323e-06,-31407035.0
2025-08-27 09:27:10.497407675,2.0323e-06,-30904612.0
2025-08-27 09:27:11.041766167,2.0348e-06,-30402050.0
2025-08-27 09:27:11.430351973,2.0348e-06,-29899498.0
2025-08-27 09:27:11.979066610,2.0351e-06,-29396982.0
2025-08-27 09:27:12.527957439,2.0365e-06,-28894517.0
2025-08-27 09:27:13.075461864,2.0365e-06,-28392001.0
2025-08-27 09:27:13.621071100,2.0372e-06,-27889458.0
2025-08-27 09:27:14.165044785,2.0372e-06,-27386995.0
2025-08-27 09:27:14.713004112,2.0398e-06,-26884449.0
2025-08-27 09:27:15.262784719,2.0398e-06,-26381916.0
2025-08-27 09:27:15.721611738,2.0442e-06,-25879397.0
2025-08-27 09:27:16.269011974,2.0442e-06,-25376904.0
2025-08-27 09:27:16.818391562,2.0447e-06,-24874369.0
2025-08-27 09:27:17.368483543,2.0447e-06,-24371898.0
2025-08-27 09:27:17.910727262,2.0477e-06,-23869372.0
2025-08-27 09:27:18.454436541,2.0477e-06,-23366890.0
2025-08-27 09:27:18.996577978,2.052e-06,-22864349.0
2025-08-27 09:27:19.538564920,2.0535e-06,-22361795.0
2025-08-27 09:27:20.083755255,2.0535e-06,-21859355.0
2025-08-27 09:27:20.629014492,2.0592e-06,-21356809.0
2025-08-27 09:27:21.172790527,2.0592e-06,-20854295.0
2025-08-27 09:27:21.727484465,2.0723e-06,-20351762.0
2025-08-27 09:27:22.280600786,2.0723e-06,-19849314.0
2025-08-27 09:27:22.828091383,1.33316e-05,-19346747.0
2025-08-27 09:27:23.377289057,1.33316e-05,-18844295.0
2025-08-27 09:27:23.927162647,1.529e-05,-18341771.0
2025-08-27 09:27:24.480936050,1.529e-05,-17839226.0
2025-08-27 09:27:25.030569792,2.3007e-06,-17336720.0
2025-08-27 09:27:25.583440304,2.0608e-06,-16834212.0
2025-08-27 09:27:26.133797884,2.0608e-06,-16331693.0
2025-08-27 09:27:26.684052467,2.0506e-06,-15829193.0
2025-08-27 09:27:27.233082056,2.0506e-06,-15326623.0
2025-08-27 09:27:27.782040596,2.0482e-06,-14824147.0
2025-08-27 09:27:28.329514503,2.0482e-06,-14321636.0
2025-08-27 09:27:28.874689341,2.0481e-06,-13819148.0
2025-08-27 09:27:29.423732042,2.0481e-06,-13316670.0
2025-08-27 09:27:29.885530472,2.0484e-06,-12814071.0
2025-08-27 09:27:30.440790415,2.0484e-06,-12311595.0
2025-08-27 09:27:30.983401537,2.0485e-06,-11809111.0
2025-08-27 09:27:31.404103994,2.0485e-06,-11306532.0
2025-08-27 09:27:31.951184750,2.0507e-06,-10804065.0
2025-08-27 09:27:32.504133462,2.0507e-06,-10301534.0
2025-08-27 09:27:33.049692869,2.0245e-06,-9799035.0
2025-08-27 09:27:33.597045898,1.9999e-06,-9296482.0
2025-08-27 09:27:34.148825645,1.9999e-06,-8793997.0
2025-08-27 09:27:34.699169874,2.0188e-06,-8291476.0
2025-08-27 09:27:35.249440432,2.0188e-06,-7788950.0
2025-08-27 09:27:35.798908234,2.0369e-06,-7286445.0
2025-08-27 09:27:36.345900774,2.0369e-06,-6783942.0
2025-08-27 09:27:36.705055475,2.0337e-06,-6281408.0
2025-08-27 09:27:37.252216578,2.0337e-06,-5778914.0
2025-08-27 09:27:37.800231695,2.0386e-06,-5276413.0
2025-08-27 09:27:38.345279694,2.0386e-06,-4773871.0
2025-08-27 09:27:38.895500660,2.039e-06,-4271398.0
2025-08-27 09:27:39.446392536,2.039e-06,-3768922.0
2025-08-27 09:27:39.988847256,2.0398e-06,-3266344.0
2025-08-27 09:27:40.415495634,2.0398e-06,-2763819.0
2025-08-27 09:27:40.965661764,2.0439e-06,-2261412.0
2025-08-27 09:27:41.514127731,2.0513e-06,-1758810.0
2025-08-27 09:27:42.065886497,2.0513e-06,-1256307.0
2025-08-27 09:27:42.617801666,2.0675e-06,-753853.0
2025-08-27 09:27:43.169102430,2.0675e-06,-251291.0
2025-08-27 09:27:43.706800938,2.1197e-06,251216.0
2025-08-27 09:27:44.243360758,2.1197e-06,753752.0
2025-08-27 09:27:44.784912109,8.6773e-06,1256236.0
2025-08-27 09:27:45.330891848,8.6773e-06,1758775.0
2025-08-27 09:27:45.878519535,2.1015e-06,2261293.0
2025-08-27 09:27:46.422095060,2.1015e-06,2763816.0
2025-08-27 09:27:47.008537769,2.0447e-06,3266318.0
2025-08-27 09:27:47.591964483,2.0182e-06,3768778.0
2025-08-27 09:27:48.129264116,2.0182e-06,4271323.0
2025-08-27 09:27:48.667972803,1.9416e-06,4773855.0
2025-08-27 09:27:49.257101297,1.9416e-06,5276411.0
2025-08-27 09:27:49.796645641,1.9991e-06,5778846.0
2025-08-27 09:27:50.339495182,1.9991e-06,6281357.0
2025-08-27 09:27:50.876520872,2.0239e-06,6783871.0
2025-08-27 09:27:51.413862467,2.0239e-06,7286387.0
2025-08-27 09:27:51.953602076,2.0243e-06,7788940.0
2025-08-27 09:27:52.494014263,2.0243e-06,8291391.0
2025-08-27 09:27:53.036244154,2.0396e-06,8793955.0
2025-08-27 09:27:53.575801611,2.0216e-06,9296415.0
2025-08-27 09:27:54.118120909,2.0216e-06,9799004.0
2025-08-27 09:27:54.659859180,2.0242e-06,10301496.0
2025-08-27 09:27:55.207062960,2.0242e-06,10803999.0
2025-08-27 09:27:55.753995419,2.0676e-06,11306486.0
2025-08-27 09:27:56.292980194,2.0676e-06,11808995.0
2025-08-27 09:27:56.884862661,2.0868e-06,12311520.0
2025-08-27 09:27:57.429017067,2.0868e-06,12814060.0
2025-08-27 09:27:57.881427288,2.0897e-06,13316582.0
2025-08-27 09:27:58.423972130,2.0897e-06,13819058.0
2025-08-27 09:27:58.968118429,2.0894e-06,14321563.0
2025-08-27 09:27:59.509559870,2.0681e-06,14824073.0
2025-08-27 09:28:00.054916143,2.0681e-06,15326605.0
2025-08-27 09:28:00.474885702,2.0681e-06,15829145.0
2025-08-27 09:28:01.014637232,2.0539e-06,16331614.0
2025-08-27 09:28:01.558484077,2.0394e-06,16834140.0
2025-08-27 09:28:02.102487087,2.0394e-06,17336700.0
2025-08-27 09:28:02.614647388,2.0467e-06,17839195.0
2025-08-27 09:28:03.155254126,2.0467e-06,18341672.0
2025-08-27 09:28:03.702799320,2.0292e-06,18844168.0
2025-08-27 09:28:04.246568680,2.0292e-06,19346722.0
2025-08-27 09:28:04.788647413,2.0684e-06,19849256.0
2025-08-27 09:28:05.335225821,2.0684e-06,20351718.0
2025-08-27 09:28:05.887817383,6.7663e-06,20854230.0
2025-08-27 09:28:06.436388016,6.7663e-06,21356777.0
2025-08-27 09:28:06.978992701,2.0878e-06,21859276.0
2025-08-27 09:28:07.525502920,2.062e-06,22361813.0
2025-08-27 09:28:07.920631647,2.062e-06,22864321.0
2025-08-27 09:28:08.464944839,2.062e-06,23366789.0
2025-08-27 09:28:09.009553909,2.0507e-06,23869320.0
2025-08-27 09:28:09.558584690,2.0475e-06,24371834.0
2025-08-27 09:28:10.103582621,2.0475e-06,24874329.0
2025-08-27 09:28:10.657478094,2.0522e-06,25376831.0
2025-08-27 09:28:11.200915813,2.0522e-06,25879355.0
2025-08-27 09:28:11.741679430,2.0543e-06,26381890.0
2025-08-27 09:28:12.281527042,2.0543e-06,26884403.0
2025-08-27 09:28:12.638006687,2.064e-06,27386935.0
2025-08-27 09:28:13.178626776,2.064e-06,27889380.0
2025-08-27 09:28:13.720354795,2.073e-06,28391928.0
2025-08-27 09:28:14.260048151,2.073e-06,28894382.0
2025-08-27 09:28:14.800962210,2.0694e-06,29396981.0
2025-08-27 09:28:15.339723587,2.0694e-06,29899515.0
2025-08-27 09:28:15.881912231,2.0742e-06,30401988.0
