time,readback,angle
2025-08-27 10:29:52.375399351,4.7012e-06,-49999963.0
2025-08-27 10:29:52.896855593,4.711e-06,-49950019.0
2025-08-27 10:29:53.457482815,4.711e-06,-49899989.0
2025-08-27 10:29:54.059604645,4.798e-06,-49849988.0
2025-08-27 10:29:54.719418287,4.8177e-06,-49799970.0
2025-08-27 10:29:55.280279636,4.8177e-06,-49749928.0
2025-08-27 10:29:55.843728304,4.7435e-06,-49699958.0
2025-08-27 10:29:56.355814934,4.7435e-06,-49649930.0
2025-08-27 10:29:56.919083834,4.7565e-06,-49599864.0
2025-08-27 10:29:57.430689096,4.7565e-06,-49549835.0
2025-08-27 10:29:57.987330198,4.7694e-06,-49499809.0
2025-08-27 10:29:58.497812748,4.7694e-06,-49449744.0
2025-08-27 10:29:59.004946947,4.7683e-06,-49399782.0
2025-08-27 10:29:59.505408764,4.7683e-06,-49349758.0
2025-08-27 10:30:00.011176348,4.7174e-06,-49299664.0
2025-08-27 10:30:00.516477584,4.7561e-06,-49249659.0
2025-08-27 10:30:01.019982100,4.7561e-06,-49199633.0
2025-08-27 10:30:01.523365736,4.5235e-06,-49149615.0
2025-08-27 10:30:02.028946638,4.5235e-06,-49099615.0
2025-08-27 10:30:02.531893729,4.2566e-06,-49049542.0
2025-08-27 10:30:03.084552288,4.2566e-06,-48999542.0
2025-08-27 10:30:03.429526329,4.2566e-06,-48949475.0
2025-08-27 10:30:03.931338787,4.1258e-06,-48899490.0
2025-08-27 10:30:04.217362642,4.1258e-06,-48849425.0
2025-08-27 10:30:04.722928524,4.0746e-06,-48799442.0
2025-08-27 10:30:05.231051683,4.0746e-06,-48749426.0
2025-08-27 10:30:05.578615665,4.3921e-06,-48699350.0
2025-08-27 10:30:06.083833456,4.3921e-06,-48649330.0
2025-08-27 10:30:06.589442730,4.4718e-06,-48599384.0
2025-08-27 10:30:07.093980789,4.4718e-06,-48549325.0
2025-08-27 10:30:07.600382805,4.3856e-06,-48499287.0
2025-08-27 10:30:08.106914520,4.3856e-06,-48449291.0
2025-08-27 10:30:08.614953041,4.3418e-06,-48399230.0
2025-08-27 10:30:09.130011082,4.3418e-06,-48349181.0
2025-08-27 10:30:09.640866518,4.3521e-06,-48299189.0
2025-08-27 10:30:10.146439314,4.3521e-06,-48249163.0
2025-08-27 10:30:10.652802706,4.3467e-06,-48199110.0
2025-08-27 10:30:11.162108898,4.3467e-06,-48149119.0
2025-08-27 10:30:11.667962551,4.3714e-06,-48099071.0
2025-08-27 10:30:12.109195709,4.3714e-06,-48049024.0
2025-08-27 10:30:12.621184111,4.3575e-06,-47999002.0
2025-08-27 10:30:13.125492573,4.3575e-06,-47949023.0
2025-08-27 10:30:13.634652615,4.3645e-06,-47899020.0
2025-08-27 10:30:14.105949163,4.3645e-06,-47848924.0
2025-08-27 10:30:14.610216141,4.3733e-06,-47798940.0
2025-08-27 10:30:15.113889694,4.3733e-06,-47748918.0
2025-08-27 10:30:15.619047403,4.3927e-06,-47698875.0
2025-08-27 10:30:16.124258995,4.3927e-06,-47648834.0
2025-08-27 10:30:16.629074097,4.3682e-06,-47598821.0
2025-08-27 10:30:17.132677078,4.3682e-06,-47548776.0
2025-08-27 10:30:17.641021490,4.3603e-06,-47498807.0
2025-08-27 10:30:18.150168180,4.3603e-06,-47448733.0
2025-08-27 10:30:18.655421495,4.343e-06,-47398726.0
2025-08-27 10:30:19.160343647,4.343e-06,-47348688.0
2025-08-27 10:30:19.664093733,4.3552e-06,-47298691.0
2025-08-27 10:30:20.168530464,4.3552e-06,-47248667.0
2025-08-27 10:30:20.682837725,4.3792e-06,-47198646.0
2025-08-27 10:30:21.190109253,4.3792e-06,-47148632.0
2025-08-27 10:30:21.696977139,4.4057e-06,-47098569.0
2025-08-27 10:30:22.204634428,4.4057e-06,-47048564.0
2025-08-27 10:30:22.717172146,4.3692e-06,-46998519.0
2025-08-27 10:30:23.229423285,4.3692e-06,-46948516.0
2025-08-27 10:30:23.733047009,4.3603e-06,-46898416.0
2025-08-27 10:30:24.242638350,4.3603e-06,-46848456.0
2025-08-27 10:30:24.749247551,4.3794e-06,-46798445.0
2025-08-27 10:30:25.098915815,4.3794e-06,-46748375.0
2025-08-27 10:30:25.606578350,4.4003e-06,-46698383.0
2025-08-27 10:30:26.111955881,4.4003e-06,-46648347.0
2025-08-27 10:30:26.621075153,4.4033e-06,-46598335.0
2025-08-27 10:30:27.125006914,4.4033e-06,-46548271.0
2025-08-27 10:30:27.633430958,4.4281e-06,-46498284.0
2025-08-27 10:30:28.139630556,4.4281e-06,-46448232.0
2025-08-27 10:30:28.519921064,4.4327e-06,-46398199.0
2025-08-27 10:30:29.027040958,4.4327e-06,-46348235.0
2025-08-27 10:30:29.533310652,4.4308e-06,-46298202.0
2025-08-27 10:30:30.042739630,4.4308e-06,-46248150.0
2025-08-27 10:30:30.553782940,4.4313e-06,-46198140.0
2025-08-27 10:30:31.060225248,4.4313e-06,-46148111.0
2025-08-27 10:30:31.566189528,4.4404e-06,-46098083.0
2025-08-27 10:30:32.073689461,4.4404e-06,-46048062.0
2025-08-27 10:30:32.580715895,4.4384e-06,-45998073.0
2025-08-27 10:30:33.084802628,4.4384e-06,-45947989.0
2025-08-27 10:30:33.590986013,4.4412e-06,-45897997.0
2025-08-27 10:30:34.095699310,4.4412e-06,-45847960.0
2025-08-27 10:30:34.599695921,4.4393e-06,-45797946.0
2025-08-27 10:30:34.885457039,4.4393e-06,-45747874.0
2025-08-27 10:30:35.389777660,4.4393e-06,-45697901.0
2025-08-27 10:30:35.893656015,4.4419e-06,-45647859.0
2025-08-27 10:30:36.397990465,4.4419e-06,-45597835.0
2025-08-27 10:30:36.903698921,4.4609e-06,-45547796.0
2025-08-27 10:30:37.410382986,4.4609e-06,-45497778.0
2025-08-27 10:30:37.924645662,4.467e-06,-45447777.0
2025-08-27 10:30:38.436781406,4.467e-06,-45397703.0
2025-08-27 10:30:38.952774763,4.4401e-06,-45347708.0
2025-08-27 10:30:39.466507435,4.4401e-06,-45297691.0
2025-08-27 10:30:39.976639032,4.4068e-06,-45247690.0
2025-08-27 10:30:40.357455015,4.4068e-06,-45197599.0
2025-08-27 10:30:40.862035036,4.4042e-06,-45147605.0
2025-08-27 10:30:41.371014595,4.4042e-06,-45097630.0
2025-08-27 10:30:41.875736713,4.3809e-06,-45047566.0
2025-08-27 10:30:42.385640383,4.3809e-06,-44997541.0
2025-08-27 10:30:42.892266035,4.3434e-06,-44947483.0
2025-08-27 10:30:43.395621538,4.3434e-06,-44897442.0
2025-08-27 10:30:43.906601906,4.2962e-06,-44847474.0
2025-08-27 10:30:44.419337511,4.2962e-06,-44797431.0
2025-08-27 10:30:44.676873207,4.279e-06,-44747373.0
2025-08-27 10:30:45.184903860,4.279e-06,-44697364.0
2025-08-27 10:30:45.686508179,4.3151e-06,-44647355.0
2025-08-27 10:30:46.033246994,4.3151e-06,-44597299.0
2025-08-27 10:30:46.537302017,4.4848e-06,-44547273.0
2025-08-27 10:30:47.048400402,4.4848e-06,-44497281.0
2025-08-27 10:30:47.556707382,4.5529e-06,-44447271.0
2025-08-27 10:30:48.062946320,4.5529e-06,-44397240.0
2025-08-27 10:30:48.565858603,4.6377e-06,-44347223.0
2025-08-27 10:30:49.071764469,4.6377e-06,-44297158.0
2025-08-27 10:30:49.575910807,4.6315e-06,-44247134.0
2025-08-27 10:30:50.079141140,4.6315e-06,-44197096.0
2025-08-27 10:30:50.583689928,4.0008e-06,-44147105.0
2025-08-27 10:30:51.086127758,4.0008e-06,-44097088.0
2025-08-27 10:30:51.591612339,4.191e-06,-44047029.0
2025-08-27 10:30:52.104744434,4.191e-06,-43997022.0
2025-08-27 10:30:52.611440182,4.1678e-06,-43946987.0
2025-08-27 10:30:53.115481615,4.1678e-06,-43897014.0
2025-08-27 10:30:53.618065357,4.3434e-06,-43846967.0
2025-08-27 10:30:54.133176088,4.3434e-06,-43796935.0
2025-08-27 10:30:54.637370110,4.4717e-06,-43746875.0
2025-08-27 10:30:55.143035412,4.4717e-06,-43696893.0
2025-08-27 10:30:55.646179914,4.8544e-06,-43646834.0
