time,readback,angle
2025-08-27 08:35:08.021558762,2.1709e-06,-49999910.0
2025-08-27 08:35:08.530589581,2.2271e-06,-49950018.0
2025-08-27 08:35:09.029657125,2.2271e-06,-49900018.0
2025-08-27 08:35:09.525716543,2.2526e-06,-49849994.0
2025-08-27 08:35:10.075808764,2.2526e-06,-49799898.0
2025-08-27 08:35:10.569886684,2.2813e-06,-49749941.0
2025-08-27 08:35:11.166403294,2.2813e-06,-49699906.0
2025-08-27 08:35:11.671749592,2.2777e-06,-49649930.0
2025-08-27 08:35:12.221467733,2.2777e-06,-49599854.0
2025-08-27 08:35:12.721007586,2.2503e-06,-49549878.0
2025-08-27 08:35:13.220885277,2.2503e-06,-49499791.0
2025-08-27 08:35:13.721713781,2.2208e-06,-49449746.0
2025-08-27 08:35:14.217455387,2.2208e-06,-49399829.0
2025-08-27 08:35:14.713810444,2.1188e-06,-49349730.0
2025-08-27 08:35:15.213483572,2.1188e-06,-49299705.0
2025-08-27 08:35:15.715336084,1.7219e-06,-49249734.0
2025-08-27 08:35:16.213574886,1.7219e-06,-49199581.0
2025-08-27 08:35:16.711054802,1.6284e-06,-49149598.0
2025-08-27 08:35:17.212923288,1.6284e-06,-49099536.0
2025-08-27 08:35:17.710008860,1.6552e-06,-49049582.0
2025-08-27 08:35:18.207042456,1.6552e-06,-48999516.0
2025-08-27 08:35:18.704113007,1.5227e-06,-48949520.0
2025-08-27 08:35:19.200496435,1.5227e-06,-48899491.0
2025-08-27 08:35:19.698934317,1.464e-06,-48849448.0
2025-08-27 08:35:20.193062544,1.464e-06,-48799423.0
2025-08-27 08:35:20.696511745,1.6823e-06,-48749410.0
2025-08-27 08:35:20.978583097,1.6823e-06,-48699349.0
2025-08-27 08:35:21.481880903,1.6823e-06,-48649358.0
2025-08-27 08:35:21.982162714,1.7466e-06,-48599345.0
2025-08-27 08:35:22.485827684,1.7466e-06,-48549302.0
2025-08-27 08:35:22.982719660,1.9525e-06,-48499265.0
2025-08-27 08:35:23.480013847,1.9525e-06,-48449261.0
2025-08-27 08:35:23.975404024,1.9969e-06,-48399235.0
2025-08-27 08:35:24.473254442,1.9969e-06,-48349205.0
2025-08-27 08:35:24.968080044,2.4483e-06,-48299147.0
2025-08-27 08:35:25.464500189,2.4483e-06,-48249159.0
2025-08-27 08:35:25.962278128,2.5067e-06,-48199133.0
2025-08-27 08:35:26.466840267,2.5067e-06,-48149120.0
2025-08-27 08:35:26.967975855,2.4766e-06,-48099111.0
2025-08-27 08:35:27.464329481,2.4766e-06,-48049031.0
2025-08-27 08:35:27.966365099,2.4398e-06,-47999019.0
2025-08-27 08:35:28.464583397,2.4398e-06,-47948992.0
2025-08-27 08:35:28.963114262,2.398e-06,-47898958.0
2025-08-27 08:35:29.460191727,2.398e-06,-47848932.0
2025-08-27 08:35:29.955765724,2.3805e-06,-47798940.0
2025-08-27 08:35:30.449363232,2.3805e-06,-47748902.0
2025-08-27 08:35:30.943281174,2.4109e-06,-47698867.0
2025-08-27 08:35:31.441182375,2.4109e-06,-47648877.0
2025-08-27 08:35:31.937798977,2.5251e-06,-47598853.0
2025-08-27 08:35:32.431357622,2.5251e-06,-47548797.0
2025-08-27 08:35:32.927917242,2.6794e-06,-47498803.0
2025-08-27 08:35:33.206326962,2.6794e-06,-47448724.0
2025-08-27 08:35:33.612935781,2.8502e-06,-47398699.0
2025-08-27 08:35:34.109928370,2.8502e-06,-47348708.0
2025-08-27 08:35:34.605098248,3.0279e-06,-47298715.0
2025-08-27 08:35:35.102098942,3.0279e-06,-47248643.0
2025-08-27 08:35:35.601883888,3.1707e-06,-47198618.0
2025-08-27 08:35:36.104459524,3.1707e-06,-47148619.0
2025-08-27 08:35:36.605687618,3.2558e-06,-47098578.0
2025-08-27 08:35:37.104625702,3.2558e-06,-47048570.0
2025-08-27 08:35:37.603391171,3.2966e-06,-46998529.0
2025-08-27 08:35:38.004290581,3.2966e-06,-46948474.0
2025-08-27 08:35:38.503397465,3.3043e-06,-46898465.0
2025-08-27 08:35:39.002325535,3.3043e-06,-46848417.0
2025-08-27 08:35:39.498927355,3.3043e-06,-46798425.0
2025-08-27 08:35:39.992605686,3.2568e-06,-46748433.0
2025-08-27 08:35:40.489080429,3.2568e-06,-46698377.0
2025-08-27 08:35:40.986360788,3.1606e-06,-46648401.0
2025-08-27 08:35:41.499051571,3.1606e-06,-46598393.0
2025-08-27 08:35:42.002565145,3.0134e-06,-46548337.0
2025-08-27 08:35:42.502587318,3.0134e-06,-46498313.0
2025-08-27 08:35:43.002828121,2.8449e-06,-46448233.0
2025-08-27 08:35:43.501708983,2.8449e-06,-46398210.0
2025-08-27 08:35:44.001224995,2.6614e-06,-46348232.0
2025-08-27 08:35:44.501481056,2.6614e-06,-46298185.0
2025-08-27 08:35:45.006713867,2.5172e-06,-46248098.0
2025-08-27 08:35:45.512707472,2.4208e-06,-46198137.0
2025-08-27 08:35:46.010007620,2.4208e-06,-46148129.0
2025-08-27 08:35:46.505966902,2.3071e-06,-46098058.0
2025-08-27 08:35:47.004684687,2.3071e-06,-46048081.0
2025-08-27 08:35:47.500926255,2.3071e-06,-45998003.0
2025-08-27 08:35:48.001063824,2.2088e-06,-45948041.0
2025-08-27 08:35:48.220620632,2.2088e-06,-45897948.0
2025-08-27 08:35:48.722441196,2.1437e-06,-45847984.0
2025-08-27 08:35:49.221664190,2.1437e-06,-45797962.0
2025-08-27 08:35:49.720114231,2.09e-06,-45747903.0
2025-08-27 08:35:50.221707106,2.09e-06,-45697877.0
2025-08-27 08:35:50.720093489,2.0697e-06,-45647848.0
2025-08-27 08:35:51.216735125,2.0697e-06,-45597827.0
2025-08-27 08:35:51.713105917,2.0775e-06,-45547776.0
2025-08-27 08:35:52.209461689,2.0775e-06,-45497788.0
2025-08-27 08:35:52.706240416,2.0956e-06,-45447759.0
2025-08-27 08:35:53.204402685,2.0956e-06,-45397715.0
2025-08-27 08:35:53.699573994,2.1001e-06,-45347701.0
2025-08-27 08:35:54.197487593,2.1001e-06,-45297683.0
2025-08-27 08:35:54.690224409,2.0951e-06,-45247656.0
2025-08-27 08:35:55.156692982,2.0951e-06,-45197598.0
2025-08-27 08:35:55.654734135,2.0619e-06,-45147584.0
2025-08-27 08:35:56.159532070,2.0619e-06,-45097566.0
2025-08-27 08:35:56.663067818,2.0238e-06,-45047577.0
2025-08-27 08:35:57.217980862,2.0238e-06,-44997524.0
2025-08-27 08:35:57.717337847,1.979e-06,-44947494.0
2025-08-27 08:35:58.214953661,1.979e-06,-44897533.0
2025-08-27 08:35:58.714268446,1.9356e-06,-44847423.0
2025-08-27 08:35:59.216368914,1.9356e-06,-44797414.0
2025-08-27 08:35:59.712980032,1.9116e-06,-44747404.0
2025-08-27 08:36:00.211163044,1.9116e-06,-44697373.0
2025-08-27 08:36:00.711075783,1.929e-06,-44647388.0
2025-08-27 08:36:01.212553501,1.929e-06,-44597320.0
2025-08-27 08:36:01.715219736,2.0073e-06,-44547305.0
2025-08-27 08:36:02.218854666,2.0073e-06,-44497264.0
2025-08-27 08:36:02.722979784,2.1641e-06,-44447270.0
2025-08-27 08:36:03.223864555,2.1641e-06,-44397204.0
2025-08-27 08:36:03.722495556,2.3759e-06,-44347239.0
2025-08-27 08:36:04.221546412,2.3759e-06,-44297190.0
2025-08-27 08:36:04.719107628,2.6219e-06,-44247149.0
2025-08-27 08:36:05.224074602,2.6219e-06,-44197157.0
2025-08-27 08:36:05.722320318,2.8322e-06,-44147150.0
2025-08-27 08:36:06.224346638,2.8322e-06,-44097022.0
2025-08-27 08:36:06.721965551,2.9591e-06,-44046993.0
2025-08-27 08:36:07.226544380,2.9591e-06,-43997025.0
2025-08-27 08:36:07.733923912,2.9445e-06,-43947009.0
2025-08-27 08:36:08.232985497,2.9445e-06,-43896911.0
2025-08-27 08:36:08.481649637,2.9445e-06,-43846924.0
2025-08-27 08:36:08.980435610,2.788e-06,-43796905.0
2025-08-27 08:36:09.481680632,2.788e-06,-43746886.0
2025-08-27 08:36:09.981777430,2.5511e-06,-43696897.0
2025-08-27 08:36:10.294965982,2.5511e-06,-43646823.0
2025-08-27 08:36:10.792014122,2.425e-06,-43596814.0
2025-08-27 08:36:11.042963982,2.425e-06,-43546774.0
2025-08-27 08:36:11.549812078,2.3335e-06,-43496792.0
2025-08-27 08:36:12.050602436,2.3335e-06,-43446772.0
2025-08-27 08:36:12.548672438,2.3729e-06,-43396755.0
2025-08-27 08:36:12.923057318,2.3729e-06,-43346674.0
2025-08-27 08:36:13.423107862,2.3729e-06,-43296689.0
2025-08-27 08:36:13.926967859,2.6308e-06,-43246674.0
2025-08-27 08:36:14.430853605,2.6308e-06,-43196642.0
2025-08-27 08:36:14.930766344,2.8262e-06,-43146578.0
2025-08-27 08:36:15.434601784,2.8262e-06,-43096557.0
2025-08-27 08:36:15.934918404,3.0474e-06,-43046573.0
2025-08-27 08:36:16.433626890,3.0474e-06,-42996512.0
2025-08-27 08:36:16.932881117,3.2714e-06,-42946504.0
2025-08-27 08:36:17.429987431,3.2714e-06,-42896501.0
2025-08-27 08:36:17.709020376,3.4657e-06,-42846424.0
2025-08-27 08:36:18.202176332,3.4657e-06,-42796390.0
2025-08-27 08:36:18.546508551,3.6517e-06,-42746374.0
2025-08-27 08:36:19.013494968,3.6517e-06,-42696349.0
2025-08-27 08:36:19.508706569,3.7086e-06,-42646349.0
2025-08-27 08:36:20.005477905,3.7086e-06,-42596303.0
2025-08-27 08:36:20.502100467,3.7086e-06,-42546284.0
2025-08-27 08:36:21.003357649,3.6376e-06,-42496328.0
2025-08-27 08:36:21.500474691,3.6376e-06,-42446244.0
2025-08-27 08:36:21.995701551,3.4888e-06,-42396214.0
2025-08-27 08:36:22.487109661,3.4888e-06,-42346185.0
2025-08-27 08:36:22.984014988,3.3001e-06,-42296186.0
2025-08-27 08:36:23.478986025,3.3001e-06,-42246216.0
2025-08-27 08:36:23.971311569,3.0738e-06,-42196105.0
2025-08-27 08:36:24.471902609,3.0738e-06,-42146047.0
2025-08-27 08:36:24.816607475,2.8165e-06,-42096048.0
2025-08-27 08:36:25.310528040,2.8165e-06,-42046040.0
2025-08-27 08:36:25.806137562,2.4619e-06,-41995976.0
2025-08-27 08:36:26.309542418,2.4619e-06,-41945979.0
2025-08-27 08:36:26.624000788,2.1895e-06,-41895948.0
2025-08-27 08:36:27.121155977,2.1895e-06,-41845871.0
2025-08-27 08:36:27.616479635,1.9888e-06,-41795886.0
2025-08-27 08:36:28.110376596,1.9888e-06,-41745899.0
2025-08-27 08:36:28.607750893,1.7499e-06,-41695837.0
2025-08-27 08:36:29.101981163,1.7499e-06,-41645812.0
2025-08-27 08:36:29.598366022,1.6768e-06,-41595815.0
2025-08-27 08:36:30.098583698,1.6768e-06,-41545796.0
2025-08-27 08:36:30.595958710,1.6402e-06,-41495728.0
2025-08-27 08:36:31.096131086,1.6402e-06,-41445764.0
2025-08-27 08:36:31.592719555,1.6294e-06,-41395713.0
2025-08-27 08:36:32.091528177,1.6294e-06,-41345691.0
2025-08-27 08:36:32.592077017,1.6223e-06,-41295675.0
2025-08-27 08:36:33.093032360,1.6223e-06,-41245592.0
2025-08-27 08:36:33.589460373,1.6153e-06,-41195600.0
2025-08-27 08:36:34.087353230,1.6153e-06,-41145574.0
2025-08-27 08:36:34.591455936,1.6102e-06,-41095538.0
2025-08-27 08:36:35.087065935,1.6102e-06,-41045570.0
2025-08-27 08:36:35.584035158,1.6046e-06,-40995523.0
2025-08-27 08:36:36.081494331,1.6046e-06,-40945492.0
2025-08-27 08:36:36.581473351,1.6002e-06,-40895427.0
2025-08-27 08:36:37.079578400,1.6002e-06,-40845466.0
2025-08-27 08:36:37.516808987,1.5964e-06,-40795397.0
2025-08-27 08:36:38.018465519,1.5964e-06,-40745395.0
2025-08-27 08:36:38.519908428,1.5921e-06,-40695345.0
2025-08-27 08:36:38.735558748,1.5921e-06,-40645323.0
2025-08-27 08:36:39.238145351,1.5921e-06,-40595268.0
2025-08-27 08:36:39.740589380,1.5869e-06,-40545271.0
2025-08-27 08:36:40.239806652,1.5869e-06,-40495258.0
2025-08-27 08:36:40.645267725,1.5904e-06,-40445222.0
2025-08-27 08:36:41.146200418,1.5904e-06,-40395177.0
2025-08-27 08:36:41.647081137,1.586e-06,-40345200.0
2025-08-27 08:36:42.146545649,1.586e-06,-40295115.0
2025-08-27 08:36:42.611229897,1.5834e-06,-40245123.0
2025-08-27 08:36:43.111951828,1.5834e-06,-40195120.0
2025-08-27 08:36:43.549853086,1.5773e-06,-40145072.0
2025-08-27 08:36:44.050962448,1.5773e-06,-40095075.0
2025-08-27 08:36:44.545218706,1.5743e-06,-40045034.0
2025-08-27 08:36:45.045495749,1.5743e-06,-39995009.0
2025-08-27 08:36:45.540314674,1.5706e-06,-39945049.0
2025-08-27 08:36:45.944183111,1.5706e-06,-39894948.0
2025-08-27 08:36:46.439728737,1.5706e-06,-39844923.0
2025-08-27 08:36:46.933861017,1.5681e-06,-39794948.0
2025-08-27 08:36:47.372214794,1.5681e-06,-39744872.0
2025-08-27 08:36:47.867275953,1.5662e-06,-39694860.0
2025-08-27 08:36:48.361762285,1.5662e-06,-39644869.0
2025-08-27 08:36:48.580550432,1.5639e-06,-39594797.0
2025-08-27 08:36:49.079151392,1.5639e-06,-39544852.0
2025-08-27 08:36:49.581448078,1.5599e-06,-39494806.0
2025-08-27 08:36:50.078626633,1.5599e-06,-39444733.0
2025-08-27 08:36:50.574702263,1.5569e-06,-39394721.0
2025-08-27 08:36:51.070470810,1.5569e-06,-39344645.0
2025-08-27 08:36:51.567854881,1.5607e-06,-39294653.0
2025-08-27 08:36:51.816379547,1.5607e-06,-39244623.0
2025-08-27 08:36:52.312507391,1.5607e-06,-39194564.0
2025-08-27 08:36:52.812735558,1.5619e-06,-39144619.0
2025-08-27 08:36:53.314141273,1.5619e-06,-39094602.0
2025-08-27 08:36:53.814687014,1.5554e-06,-39044534.0
2025-08-27 08:36:54.309280872,1.5554e-06,-38994531.0
2025-08-27 08:36:54.775162220,1.5536e-06,-38944473.0
2025-08-27 08:36:55.270800829,1.5536e-06,-38894467.0
2025-08-27 08:36:55.768157482,1.5523e-06,-38844420.0
2025-08-27 08:36:56.275022507,1.5523e-06,-38794389.0
2025-08-27 08:36:56.773394585,1.5498e-06,-38744406.0
2025-08-27 08:36:57.269249678,1.5498e-06,-38694373.0
2025-08-27 08:36:57.762702942,1.5485e-06,-38644363.0
2025-08-27 08:36:58.258242369,1.5485e-06,-38594322.0
2025-08-27 08:36:58.756936550,1.5388e-06,-38544312.0
2025-08-27 08:36:59.259963274,1.5388e-06,-38494285.0
2025-08-27 08:36:59.756556273,1.5449e-06,-38444236.0
2025-08-27 08:37:00.252551794,1.5449e-06,-38394191.0
2025-08-27 08:37:00.753465652,1.5463e-06,-38344184.0
2025-08-27 08:37:00.998231649,1.5463e-06,-38294147.0
2025-08-27 08:37:01.494856596,1.5463e-06,-38244137.0
